_op,ScheduleHolidayLocalId,Organisation.RefId,HolidayDate,HolidayName,AlwaysDisplayFlag,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,8005-2020-Waitangi,8005,2020-02-06T00:00:00+12:00,Waitangi Day,Y,2020-05-27T12:40:30+12:00,2020-05-27T12:40:30+12:00
upsert,8005-2020-Gfri,8005,2020-04-10T00:00:00+12:00,Good Friday,Y,2020-05-27T12:40:45+12:00,2020-05-27T12:40:45+12:00
upsert,8005-2020-Emon,8005,2020-04-13T00:00:00+12:00,Easter Monday,Y,2020-05-27T12:41:00+12:00,2020-05-27T12:41:00+12:00
upsert,8005-2020-ANZAC,8005,2020-04-25T00:00:00+12:00,ANZAC Day,Y,2020-05-27T12:41:15+12:00,2020-05-27T12:41:15+12:00
upsert,8005-2020-Qbdy,8005,2020-06-01T00:00:00+12:00,Queen's Birthday,Y,2020-05-27T12:41:29+12:00,2020-05-27T12:41:29+12:00
upsert,8005-2020-Lbdy,8005,2020-10-26T00:00:00+12:00,Labour Day,Y,2020-05-27T12:41:45+12:00,2020-05-27T12:41:45+12:00
upsert,8006-2020-Waitangi,8006,2020-02-06T00:00:00+12:00,Waitangi Day,Y,2020-05-27T12:42:00+12:00,2020-05-27T12:42:00+12:00
upsert,8006-2020-Gfri,8006,2020-04-10T00:00:00+12:00,Good Friday,Y,2020-05-27T12:42:15+12:00,2020-05-27T12:42:15+12:00
upsert,8006-2020-Emon,8006,2020-04-13T00:00:00+12:00,Easter Monday,Y,2020-05-27T12:42:30+12:00,2020-05-27T12:42:30+12:00
upsert,8006-2020-ANZAC,8006,2020-04-25T00:00:00+12:00,ANZAC Day,Y,2020-05-27T12:42:45+12:00,2020-05-27T12:42:45+12:00
upsert,8006-2020-Qbdy,8006,2020-06-01T00:00:00+12:00,Queen's Birthday,Y,2020-05-27T12:43:00+12:00,2020-05-27T12:43:00+12:00
upsert,8006-2020-Lbdy,8006,2020-10-26T00:00:00+12:00,Labour Day,Y,2020-05-27T12:43:15+12:00,2020-05-27T12:43:15+12:00
upsert,8007-2020-Waitangi,8007,2020-02-06T00:00:00+12:00,Waitangi Day,Y,2020-05-27T12:43:30+12:00,2020-05-27T12:43:30+12:00
upsert,8007-2020-Gfri,8007,2020-04-10T00:00:00+12:00,Good Friday,Y,2020-05-27T12:43:45+12:00,2020-05-27T12:43:45+12:00
upsert,8007-2020-Emon,8007,2020-04-13T00:00:00+12:00,Easter Monday,Y,2020-05-27T12:44:00+12:00,2020-05-27T12:44:00+12:00
upsert,8007-2020-ANZAC,8007,2020-04-25T00:00:00+12:00,ANZAC Day,Y,2020-05-27T12:44:15+12:00,2020-05-27T12:44:15+12:00
upsert,8007-2020-Qbdy,8007,2020-06-01T00:00:00+12:00,Queen's Birthday,Y,2020-05-27T12:44:30+12:00,2020-05-27T12:44:30+12:00
upsert,8007-2020-Lbdy,8007,2020-10-26T00:00:00+12:00,Labour Day,Y,2020-05-27T12:44:45+12:00,2020-05-27T12:44:45+12:00
upsert,8008-2020-Waitangi,8008,2020-02-06T00:00:00+12:00,Waitangi Day,Y,2020-05-27T12:45:00+12:00,2020-05-27T12:45:00+12:00
upsert,8008-2020-Gfri,8008,2020-04-10T00:00:00+12:00,Good Friday,Y,2020-05-27T12:45:15+12:00,2020-05-27T12:45:15+12:00
upsert,8008-2020-Emon,8008,2020-04-13T00:00:00+12:00,Easter Monday,Y,2020-05-27T12:45:30+12:00,2020-05-27T12:45:30+12:00
upsert,8008-2020-ANZAC,8008,2020-04-25T00:00:00+12:00,ANZAC Day,Y,2020-05-27T12:45:45+12:00,2020-05-27T12:45:45+12:00
upsert,8008-2020-Qbdy,8008,2020-06-01T00:00:00+12:00,Queen's Birthday,Y,2020-05-27T12:46:00+12:00,2020-05-27T12:46:00+12:00
upsert,8008-2020-Lbdy,8008,2020-10-26T00:00:00+12:00,Labour Day,Y,2020-05-27T12:46:14+12:00,2020-05-27T12:46:14+12:00
