_op,TeachingGroupLocalId,ShortName,LongName,GroupType,Organisation.RefId,ScheduleTerm.LocalId,YearLevelList.YearLevel,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,2020_8005_JR,Room 1,Room 1 - Jrs,HR,"8005,8005",2020_8005_Y,"1,2",2020-05-27T12:43:30+12:00,2020-05-27T12:43:30+12:00
upsert,2020_8005_HR3,Room 2,Room 2 - Year 3,HR,8005,2020_8005_Y,3,2020-05-27T13:49:45+12:00,2020-05-27T13:49:45+12:00
upsert,2020_8005_HR4,Room 3,Room 3 - Year 4,HR,8005,2020_8005_Y,4,2020-05-27T13:50:00+12:00,2020-05-27T13:50:00+12:00
upsert,2020_8005_HR5,Room 4,Room 4 - Year 5,HR,8005,2020_8005_Y,5,2020-05-27T13:50:15+12:00,2020-05-27T13:50:15+12:00
upsert,2020_8005_HR6,Room 5,Room 5 - Year 6,HR,8005,2020_8005_Y,6,2020-05-27T13:52:30+12:00,2020-05-27T13:52:30+12:00
upsert,2020_8005_HR7_HR8,Room 6,Room 6 - Years 7 & 8,HR,"8005,8005",2020_8005_Y,"7,8",2020-05-27T13:52:45+12:00,2020-05-27T13:52:45+12:00
upsert,2020_8006_JR,Room 1,Room 1 - Year 1 & 2,HR,"8006,8006",2020_8006_Y,"1,2",2020-05-27T12:45:30+12:00,2020-05-27T12:45:30+12:00
upsert,2020_8006_HR3,Room 2,Room 2 - Year 3,HR,8006,2020_8006_Y,3,2020-05-27T13:49:45+12:00,2020-05-27T13:49:45+12:00
upsert,2020_8006_HR4_HR5,Room 3,Room 3 - Year 4 & 5,HR,"8006,8006",2020_8006_Y,"4,5",2020-05-27T13:50:00+12:00,2020-05-27T13:50:00+12:00
upsert,2020_8006_HR6,Room 4,Room 4 - Year 6,HR,8006,2020_8006_Y,6,2020-05-27T13:52:30+12:00,2020-05-27T13:52:30+12:00
upsert,2020_8007_HR9,HR_9,Homeroom Year 9,RC,8007,2020_8007_Y,9,2020-05-27T12:40:30+12:00,2020-05-27T12:40:30+12:00
upsert,2020_8007_HR10,HR_10,Homeroom Year 10,RC,8007,2020_8007_Y,10,2020-05-27T13:49:45+12:00,2020-05-27T13:49:45+12:00
upsert,2020_8007_HR11,HR_11,Homeroom Year 11,RC,8007,2020_8007_Y,11,2020-05-27T13:49:45+12:00,2020-05-27T13:49:45+12:00
upsert,2020_8007_HR12_HR13,HR_SR,Homeroom Years 12 & 13,RC,"8007,8007",2020_8007_Y,"12,13",2020-05-27T13:50:00+12:00,2020-05-27T13:50:00+12:00
upsert,2020_8008_HR7_HR8,Juniors,Room 1 -Years 7 & 8,RC,"8008,8008",2020_8008_Y,"7,8",2020-05-27T12:41:45+12:00,2020-05-27T12:41:45+12:00
upsert,2020_8008_HR9,Room 2,Room 2 - Year 9,RC,8008,2020_8008_Y,9,2020-05-27T13:49:45+12:00,2020-05-27T13:49:45+12:00
upsert,2020_8008_HR10,Room 3,Room 3 - Year 10,RC,8008,2020_8008_Y,10,2020-05-27T13:50:00+12:00,2020-05-27T13:50:00+12:00
upsert,2020_8008_HR11_HR13,Seniors,Room 4 - Srs,RC,"8008,8008,8008",2020_8008_Y,"11,12,13",2020-05-27T13:50:15+12:00,2020-05-27T13:50:15+12:00
