_op,ScheduleAcademicDayLocalId,AcademicDayName,Organisation.RefId,Schedule.LocalId,BellSchedule.LocalId,PeriodList.Period.LocalId,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,8007_Day_A,Day A,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","2020-05-27T12:40:30+1200,2020-05-27T12:40:45+1200,2020-05-27T12:41:00+1200,2020-05-27T12:41:15+1200,2020-05-27T12:41:29+1200,2020-05-27T12:41:45+1200","2020-05-27T12:40:30+1200,2020-05-27T12:40:45+1200,2020-05-27T12:41:00+1200,2020-05-27T12:41:15+1200,2020-05-27T12:41:29+1200,2020-05-27T12:41:45+1200"
upsert,8007_Day_B,Day B,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","2020-05-27T12:42:00+1200,2020-05-27T12:42:15+1200,2020-05-27T12:42:30+1200,2020-05-27T12:42:45+1200,2020-05-27T12:43:00+1200,2020-05-27T12:43:15+1200","2020-05-27T12:42:00+1200,2020-05-27T12:42:15+1200,2020-05-27T12:42:30+1200,2020-05-27T12:42:45+1200,2020-05-27T12:43:00+1200,2020-05-27T12:43:15+1200"
upsert,8007_Day_C,Day C,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","2020-05-27T12:43:30+1200,2020-05-27T12:43:45+1200,2020-05-27T12:44:00+1200,2020-05-27T12:44:15+1200,2020-05-27T12:44:30+1200,2020-05-27T12:44:45+1200","2020-05-27T12:43:30+1200,2020-05-27T12:43:45+1200,2020-05-27T12:44:00+1200,2020-05-27T12:44:15+1200,2020-05-27T12:44:30+1200,2020-05-27T12:44:45+1200"
upsert,8007_Day_D,Day D,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","2020-05-27T12:45:00+1200,2020-05-27T12:45:15+1200,2020-05-27T12:45:30+1200,2020-05-27T12:45:45+1200,2020-05-27T12:46:00+1200,2020-05-27T12:46:14+1200","2020-05-27T12:45:00+1200,2020-05-27T12:45:15+1200,2020-05-27T12:45:30+1200,2020-05-27T12:45:45+1200,2020-05-27T12:46:00+1200,2020-05-27T12:46:14+1200"
upsert,8007_Day_E,Day E,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","2020-05-27T12:46:30+1200,2020-05-27T12:46:45+1200,2020-05-27T12:47:00+1200,2020-05-27T12:47:15+1200,2020-05-27T12:47:30+1200,2020-05-27T12:47:45+1200","2020-05-27T12:46:30+1200,2020-05-27T12:46:45+1200,2020-05-27T12:47:00+1200,2020-05-27T12:47:15+1200,2020-05-27T12:47:30+1200,2020-05-27T12:47:45+1200"
upsert,8007_Day_F,Day F,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","2020-05-27T12:48:00+1200,2020-05-27T12:48:15+1200,2020-05-27T12:48:30+1200,2020-05-27T12:48:44+1200,2020-05-27T12:49:00+1200,2020-05-27T12:49:15+1200","2020-05-27T12:48:00+1200,2020-05-27T12:48:15+1200,2020-05-27T12:48:30+1200,2020-05-27T12:48:44+1200,2020-05-27T12:49:00+1200,2020-05-27T12:49:15+1200"
upsert,8008_Day_A,Day A,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5","2020-05-27T12:49:30+1200,2020-05-27T12:49:45+1200,2020-05-27T12:50:00+1200,2020-05-27T12:50:14+1200,2020-05-27T12:50:30+1200,2020-05-27T12:50:45+1200","2020-05-27T12:49:30+1200,2020-05-27T12:49:45+1200,2020-05-27T12:50:00+1200,2020-05-27T12:50:14+1200,2020-05-27T12:50:30+1200,2020-05-27T12:50:45+1200"
upsert,8008_Day_B,Day B,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5","2020-05-27T12:51:00+1200,2020-05-27T12:51:15+1200,2020-05-27T12:51:30+1200,2020-05-27T12:51:45+1200,2020-05-27T12:52:00+1200,2020-05-27T12:52:15+1200","2020-05-27T12:51:00+1200,2020-05-27T12:51:15+1200,2020-05-27T12:51:30+1200,2020-05-27T12:51:45+1200,2020-05-27T12:52:00+1200,2020-05-27T12:52:15+1200"
upsert,8008_Day_C,Day C,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5","2020-05-27T12:52:30+1200,2020-05-27T12:52:44+1200,2020-05-27T12:53:00+1200,2020-05-27T12:53:15+1200,2020-05-27T12:53:30+1200,2020-05-27T12:53:45+1200","2020-05-27T12:52:30+1200,2020-05-27T12:52:44+1200,2020-05-27T12:53:00+1200,2020-05-27T12:53:15+1200,2020-05-27T12:53:30+1200,2020-05-27T12:53:45+1200"
upsert,8008_Day_D,Day D,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5","2020-05-27T12:54:00+1200,2020-05-27T12:54:15+1200,2020-05-27T12:54:30+1200,2020-05-27T12:54:45+1200,2020-05-27T12:55:00+1200,2020-05-27T12:55:15+1200","2020-05-27T12:54:00+1200,2020-05-27T12:54:15+1200,2020-05-27T12:54:30+1200,2020-05-27T12:54:45+1200,2020-05-27T12:55:00+1200,2020-05-27T12:55:15+1200"
