_op,ScheduleDateLocalId,CalendarDate,Organisation.RefId,Term.LocalId,Schedule.LocalId,AcademicDay.LocalId,BellSchedule.LocalId,SchedulePeriodList.SchedulePeriodTime.Period.LocalId,SchedulePeriodList.SchedulePeriodTime.StartTime,SchedulePeriodList.SchedulePeriodTime.EndTime,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,8007_2020_001,2020-01-27,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:40:30+1200,2020-05-27T12:40:45+1200,2020-05-27T12:41:00+1200,2020-05-27T12:41:15+1200,2020-05-27T12:41:29+1200,2020-05-27T12:41:45+1200","2020-05-27T12:40:30+1200,2020-05-27T12:40:45+1200,2020-05-27T12:41:00+1200,2020-05-27T12:41:15+1200,2020-05-27T12:41:29+1200,2020-05-27T12:41:45+1200"
upsert,8007_2020_002,2020-01-28,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:42:00+1200,2020-05-27T12:42:15+1200,2020-05-27T12:42:30+1200,2020-05-27T12:42:45+1200,2020-05-27T12:43:00+1200,2020-05-27T12:43:15+1200","2020-05-27T12:42:00+1200,2020-05-27T12:42:15+1200,2020-05-27T12:42:30+1200,2020-05-27T12:42:45+1200,2020-05-27T12:43:00+1200,2020-05-27T12:43:15+1200"
upsert,8007_2020_003,2020-01-29,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:43:30+1200,2020-05-27T12:43:45+1200,2020-05-27T12:44:00+1200,2020-05-27T12:44:15+1200,2020-05-27T12:44:30+1200,2020-05-27T12:44:45+1200","2020-05-27T12:43:30+1200,2020-05-27T12:43:45+1200,2020-05-27T12:44:00+1200,2020-05-27T12:44:15+1200,2020-05-27T12:44:30+1200,2020-05-27T12:44:45+1200"
upsert,8007_2020_004,2020-01-30,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:45:00+1200,2020-05-27T12:45:15+1200,2020-05-27T12:45:30+1200,2020-05-27T12:45:45+1200,2020-05-27T12:46:00+1200,2020-05-27T12:46:14+1200","2020-05-27T12:45:00+1200,2020-05-27T12:45:15+1200,2020-05-27T12:45:30+1200,2020-05-27T12:45:45+1200,2020-05-27T12:46:00+1200,2020-05-27T12:46:14+1200"
upsert,8007_2020_005,2020-01-31,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:46:30+1200,2020-05-27T12:46:45+1200,2020-05-27T12:47:00+1200,2020-05-27T12:47:15+1200,2020-05-27T12:47:30+1200,2020-05-27T12:47:45+1200","2020-05-27T12:46:30+1200,2020-05-27T12:46:45+1200,2020-05-27T12:47:00+1200,2020-05-27T12:47:15+1200,2020-05-27T12:47:30+1200,2020-05-27T12:47:45+1200"
upsert,8007_2020_006,2020-02-03,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:48:00+1200,2020-05-27T12:48:15+1200,2020-05-27T12:48:30+1200,2020-05-27T12:48:44+1200,2020-05-27T12:49:00+1200,2020-05-27T12:49:15+1200","2020-05-27T12:48:00+1200,2020-05-27T12:48:15+1200,2020-05-27T12:48:30+1200,2020-05-27T12:48:44+1200,2020-05-27T12:49:00+1200,2020-05-27T12:49:15+1200"
upsert,8007_2020_007,2020-02-04,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:49:30+1200,2020-05-27T12:49:45+1200,2020-05-27T12:50:00+1200,2020-05-27T12:50:14+1200,2020-05-27T12:50:30+1200,2020-05-27T12:50:45+1200","2020-05-27T12:49:30+1200,2020-05-27T12:49:45+1200,2020-05-27T12:50:00+1200,2020-05-27T12:50:14+1200,2020-05-27T12:50:30+1200,2020-05-27T12:50:45+1200"
upsert,8007_2020_008,2020-02-05,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:51:00+1200,2020-05-27T12:51:15+1200,2020-05-27T12:51:30+1200,2020-05-27T12:51:45+1200,2020-05-27T12:52:00+1200,2020-05-27T12:52:15+1200","2020-05-27T12:51:00+1200,2020-05-27T12:51:15+1200,2020-05-27T12:51:30+1200,2020-05-27T12:51:45+1200,2020-05-27T12:52:00+1200,2020-05-27T12:52:15+1200"
upsert,8007_2020_009,2020-02-07,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:52:30+1200,2020-05-27T12:52:44+1200,2020-05-27T12:53:00+1200,2020-05-27T12:53:15+1200,2020-05-27T12:53:30+1200,2020-05-27T12:53:45+1200","2020-05-27T12:52:30+1200,2020-05-27T12:52:44+1200,2020-05-27T12:53:00+1200,2020-05-27T12:53:15+1200,2020-05-27T12:53:30+1200,2020-05-27T12:53:45+1200"
upsert,8007_2020_010,2020-02-10,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:54:00+1200,2020-05-27T12:54:15+1200,2020-05-27T12:54:30+1200,2020-05-27T12:54:45+1200,2020-05-27T12:55:00+1200,2020-05-27T12:55:15+1200","2020-05-27T12:54:00+1200,2020-05-27T12:54:15+1200,2020-05-27T12:54:30+1200,2020-05-27T12:54:45+1200,2020-05-27T12:55:00+1200,2020-05-27T12:55:15+1200"
