_op,ScheduleDateLocalId,CalendarDate,Organisation.RefId,Term.LocalId,Schedule.LocalId,AcademicDay.LocalId,BellSchedule.LocalId,SchedulePeriodList.SchedulePeriodTime.Period.LocalId,SchedulePeriodList.SchedulePeriodTime.StartTime,SchedulePeriodList.SchedulePeriodTime.EndTime
upsert,8007_2020_001,2020-01-27T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_002,2020-01-28T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_003,2020-01-29T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_004,2020-01-30T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_005,2020-01-31T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_006,2020-02-03T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_007,2020-02-04T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_008,2020-02-05T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_009,2020-02-07T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_010,2020-02-10T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_011,2020-02-11T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
upsert,8007_2020_012,2020-02-12T00:00:00+12:00,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+12:00,09:00:00+12:00,09:55:00+12:00,11:00:00+12:00,12:40:00+12:00,13:45:00+12:00","08:55:00+12:00,09:50:00+12:00,10:45:00+12:00,11:50:00+12:00,13:30:00+12:00,14:45:00+12:00"
