_op,TeachingGroupEventLocalId,Organisation.RefId,TeachingGroup.LocalId,Schedule.LocalId,SchedulePeriod.LocalId,AcademicDay.LocalId,TakeAttendanceFlag
upsert,2020_8005_JR_Normal_AM,8005,2020_8005_JR,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_JR_Normal_PM,8005,2020_8005_JR,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR3_Normal_AM,8005,2020_8005_HR3,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR3_Normal_PM,8005,2020_8005_HR3,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR4_Normal_AM,8005,2020_8005_HR4,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR4_Normal_PM,8005,2020_8005_HR4,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR5_Normal_AM,8005,2020_8005_HR5,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR5_Normal_PM,8005,2020_8005_HR5,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR6_Normal_AM,8005,2020_8005_HR6,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR6_Normal_PM,8005,2020_8005_HR6,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR7_HR8_Normal_AM,8005,2020_8005_HR7_HR8,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR7_HR8_Normal_PM,8005,2020_8005_HR7_HR8,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8006_JR_Normal_AM,8006,2020_8006_JR,8006_Sched_2020,8006_AM,8006_Normal,Y
upsert,2020_8006_JR_Normal_PM,8006,2020_8006_JR,8006_Sched_2020,8006_PM,8006_Normal,Y
upsert,2020_8006_HR3_Normal_AM,8006,2020_8006_HR3,8006_Sched_2020,8006_AM,8006_Normal,Y
upsert,2020_8006_HR3_Normal_PM,8006,2020_8006_HR3,8006_Sched_2020,8006_PM,8006_Normal,Y
